0.00819698,0.007428,0.00713772
0.0158696,0.0136157,0.013954
0.017119,0.0147945,0.0151758
0.0187772,0.0159193,0.0165889
0.0207518,0.0172176,0.0184118
0.023177,0.0189065,0.0205577
0.0260993,0.0207357,0.022889
0.0294974,0.0231414,0.0260735
0.033582,0.0256848,0.0297843
0.0380794,0.0289854,0.0340443
0.0431658,0.0325333,0.0389602
0.0489284,0.0369053,0.0444468
0.0550639,0.0414256,0.0504894
0.0614063,0.0467405,0.0568253
0.0677658,0.0522895,0.0638294
0.0738779,0.0576403,0.0707759
0.080131,0.0638471,0.0775483
0.0863255,0.0695384,0.0843487
0.0923811,0.0754609,0.0912774
0.0982947,0.0809247,0.0978299
0.104235,0.0867591,0.10453
0.110412,0.0923321,0.110978
0.116627,0.0978214,0.117696
0.122707,0.103696,0.124381
0.129832,0.109643,0.130583
0.136962,0.115506,0.13723
0.144273,0.121448,0.143815
0.151533,0.127821,0.150753
0.159105,0.134224,0.157113
0.165885,0.140712,0.164191
0.173189,0.147535,0.1711
0.179869,0.154492,0.177997
0.18653,0.160881,0.185081
0.19303,0.167802,0.192782
0.200008,0.174705,0.200098
0.206712,0.181542,0.207549
0.213497,0.188741,0.215398
0.220259,0.195738,0.222359
0.227458,0.202558,0.229748
0.234785,0.209894,0.236799
0.242121,0.216904,0.244495
0.249609,0.224103,0.252144
0.257279,0.230768,0.259583
0.264768,0.237917,0.26734
0.272813,0.245704,0.274819
0.279771,0.253287,0.282374
0.287555,0.260899,0.289609
0.29446,0.268991,0.296633
0.302338,0.277139,0.304218
0.309821,0.285016,0.311265
0.31732,0.292948,0.318466
0.324657,0.300851,0.326297
0.33278,0.308758,0.333504
0.340274,0.316729,0.341491
0.3478,0.324592,0.349271
0.355722,0.332398,0.356939
0.363198,0.340149,0.364541
0.371299,0.348157,0.372568
0.378493,0.355767,0.38042
0.386023,0.36336,0.387322
0.393293,0.371112,0.39491
0.4004,0.378691,0.402628
0.40765,0.386799,0.410275
0.414578,0.394983,0.417391
0.421991,0.40363,0.425082
0.428648,0.411055,0.433266
0.435843,0.419556,0.440653
0.443091,0.427595,0.448169
0.449731,0.435787,0.455521
0.457063,0.443889,0.463392
0.464431,0.45115,0.470784
0.471365,0.45803,0.478301
0.478418,0.465563,0.48617
0.485233,0.472753,0.493808
0.492706,0.479874,0.501616
0.499232,0.486794,0.508854
0.506309,0.494277,0.515955
0.51347,0.501662,0.523994
0.520547,0.509064,0.530549
0.527863,0.517017,0.538018
0.534128,0.523881,0.544704
0.541892,0.532122,0.55237
0.548608,0.539044,0.559106
0.555495,0.546308,0.565519
0.562786,0.554345,0.572932
0.568748,0.560967,0.579831
